[DIPPR Text]
1457CASN  	143-24-8
1458CASN  	112-36-7
1459CASN  	112-73-2
1460CASN  	539-30-0
1461CASN  	100-66-3
1462CASN  	103-73-1
1463CASN  	103-50-4
1464CASN  	106-92-3
1465CASN  	101-84-8
1466CASN  	19177-04-9
1467CASN  	106538-38-9
1468CASN  	534-15-6
1469CASN  	1191-87-3
1470CASN  	107-25-5
1471CASN  	106-88-7
1472CASN  	80-15-9
1473CASN  	75-91-2
1474CASN  	766-07-4
1475CASN  	80-43-3
1476CASN  	80-47-7
1477CASN  	1708-29-8
1478CASN  	110-00-9
1479CASN  	109-99-9
1480CASN  	132-64-9
1481CASN  	94-36-0
1482CASN  	110-05-4
1483CASN  	4813-50-7
1484CASN  	26762-93-6
1485CASN  	4265-25-2
1486CASN  	98-49-7
1487CASN  	39972-78-6
1488CASN  	00-00-00
1501CASN  	56-23-5
1502CASN  	74-87-3
1503CASN  	75-00-3
1504CASN  	75-01-4
1505CASN  	110-57-6
1508CASN  	110-56-5
1509CASN  	628-76-2
1511CASN  	75-09-2
1521CASN  	67-66-3
1522CASN  	75-34-3
1523CASN  	107-06-2
1524CASN  	79-00-5
1525CASN  	67-72-1
1526CASN  	78-87-5
1527CASN  	71-55-6
1528CASN  	630-20-6
1529CASN  	79-34-5
1530CASN  	75-29-6
1531CASN  	624-65-7
1532CASN  	96-18-4
1534CASN  	513-36-0
1535CASN  	507-20-0
1536CASN  	616-21-7
1537CASN  	7581-97-7
1541CASN  	79-01-6
1542CASN  	127-18-4
1544CASN  	107-05-1
1561CASN  	87-68-3
1562CASN  	100-44-7
1571CASN  	108-90-7
1572CASN  	95-50-1
1573CASN  	541-73-1
1574CASN  	106-46-7
1575CASN  	118-74-1
1576CASN  	98-07-7
1577CASN  	95-49-8
1578CASN  	106-43-4
1579CASN  	95-73-8
1580CASN  	156-59-2
1581CASN  	156-60-5
1582CASN  	77-47-4
1583CASN  	126-99-8
1585CASN  	540-54-5
1586CASN  	109-69-3
1587CASN  	78-86-4
1588CASN  	543-59-9
1589CASN  	90-13-1
1590CASN  	76-01-7
1591CASN  	75-35-4
1592CASN  	120-82-1
1593CASN  	1476-11-5
1594CASN  	506-77-4
1595CASN  	557-98-2
1596CASN  	618-46-2
1597CASN  	760-23-6
1598CASN  	10075-38-4
1599CASN  	98-87-3
1600CASN  	593-70-4
1601CASN  	75-71-8
1602CASN  	75-69-4
1604CASN  	75-45-6
1606CASN  	75-72-9
1608CASN  	75-88-7
1609CASN  	76-14-2
1611CASN  	124-73-2
1612CASN  	359-10-4
1613CASN  	593-53-3
1614CASN  	75-10-5
1615CASN  	75-46-7
1616CASN  	75-73-0
1617CASN  	353-36-6
1619CASN  	420-46-2
1622CASN  	355-25-9
1629CASN  	75-38-7
1630CASN  	116-14-3
1634CASN  	1511-62-2
1640CASN  	75-37-6
1641CASN  	74-83-9
1645CASN  	74-96-4
1646CASN  	354-33-6
1649CASN  	79-27-6
1650CASN  	106-94-5
1651CASN  	75-26-3
1655CASN  	109-65-9
1667CASN  	629-04-9
1672CASN  	557-91-5
1673CASN  	106-93-4
1678CASN  	108-36-1
1679CASN  	354-58-5
1680CASN  	108-86-1
1681CASN  	74-88-4
1682CASN  	75-03-6
1683CASN  	107-08-4
1684CASN  	75-30-9
1691CASN  	591-50-4
1692CASN  	75-11-6
1693CASN  	374-07-2
1694CASN  	306-83-2
1696CASN  	75-43-4
1697CASN  	90-11-9
1698CASN  	75-25-2
1699CASN  	116-15-4
1701CASN  	74-89-5
1702CASN  	124-40-3
1703CASN  	75-50-3
1704CASN  	75-04-7
1705CASN  	594-39-8
1706CASN  	121-44-8
1707CASN  	142-84-7
1708CASN  	927-62-8
1710CASN  	109-89-7
1711CASN  	107-10-8
1712CASN  	109-73-9
1713CASN  	110-58-7
1714CASN  	78-81-9
1715CASN  	765-30-0
1717CASN  	302-01-2
1718CASN  	110-96-3
1719CASN  	75-31-0
1720CASN  	2016-42-4
1721CASN  	109-97-7
1722CASN  	105-59-9
1723CASN  	141-43-5
1724CASN  	111-42-2
1725CASN  	102-71-6
1726CASN  	13952-84-6
1727CASN  	75-64-9
1729CASN  	108-91-8
1730CASN  	1446-61-3
1731CASN  	124-09-4
1732CASN  	95-80-7
1733CASN  	100-46-9
1734CASN  	280-57-9
1735CASN  	136-35-6
1736CASN  	95-53-4
1737CASN  	108-44-1
1738CASN  	106-49-0
1739CASN  	112-24-3
1740CASN  	107-11-9
1741CASN  	107-15-3
1742CASN  	151-56-4
1743CASN  	108-18-9
1744CASN  	111-92-2
1745CASN  	110-89-4
1746CASN  	836-30-6
1747CASN  	101-54-2
1748CASN  	91-22-5
1749CASN  	103-70-8
1750CASN  	140-31-8
1751CASN  	100-97-0
1752CASN  	78-90-0
1753CASN  	91-66-7
1754CASN  	96-54-8
1755CASN  	290-37-9
1756CASN  	122-39-4
1757CASN  	100-63-0
1758CASN  	108-78-1
1759CASN  	91-63-4
1760CASN  	75-52-5
1761CASN  	79-24-3
1762CASN  	108-03-2
1763CASN  	79-46-9
1764CASN  	109-78-4
1765CASN  	110-91-8
1766CASN  	123-75-1
1767CASN  	120-94-5
1768CASN  	509-14-8
1769CASN  	627-05-4
1771CASN  	74-90-8
1772CASN  	75-05-8
1773CASN  	107-12-0
1774CASN  	107-13-1
1775CASN  	126-98-7
1776CASN  	110-61-2
1777CASN  	111-69-3
1778CASN  	88-72-2
1779CASN  	99-99-0
1780CASN  	99-08-1
1781CASN  	544-13-8
1782CASN  	109-74-0
1783CASN  	110-59-8
1785CASN  	109-77-3
1786CASN  	628-73-9
1787CASN  	78-82-0
1789CASN  	627-26-9
1790CASN  	100-47-0
1791CASN  	110-86-1
1792CASN  	62-53-3
1793CASN  	584-84-9
1794CASN  	111-49-9
1795CASN  	100-61-8
1796CASN  	121-69-7
1797CASN  	109-06-8
1798CASN  	1190-76-7
1799CASN  	460-19-5
1801CASN  	74-93-1
1802CASN  	75-08-1
1803CASN  	107-03-9
1804CASN  	75-66-1
1805CASN  	513-44-0
1806CASN  	513-53-1
1807CASN  	111-31-9
1808CASN  	1455-21-6
1809CASN  	111-88-6
1810CASN  	75-33-2
1811CASN  	1569-69-3
1812CASN  	100-53-8
1813CASN  	624-89-5
1814CASN  	3877-15-4
1815CASN  	6163-64-0
1816CASN  	13286-92-5
1817CASN  	111-47-7
1818CASN  	352-93-2
1819CASN  	3698-94-0
1820CASN  	75-18-3
1821CASN  	110-02-1
