[Short descriptors]
# LibIndex <Tab> CAS <Tab> Short name <Tab> Full name
# short name entries as * and content after # is ignored
2749	618-85-9	35DNT	3,5-dinitrotoluene
2747	118-96-7	TNT	2,4,6-trinitrotoluene
# 1255	144-62-7	*	Oxalic acid
# 1277	79-10-7	*	Acrylic acid
# 1278	79-41-4	*	Methacrylic acid
# 1281	65-85-0	*	Benzoic acid
# 1282	118-90-1	*	O-toluic acid
# 1283	99-94-5	*	P-toluic acid
# 1284	69-72-7	*	Salicylic acid
# 1285	124-04-9	*	Adipic acid
# 1287	88-99-3	*	Phthalic acid
# 1286	110-16-7	*	Maleic acid
1289	100-21-0	TPA	Terephthalic acid
1291	108-24-7	AAn	Acetic anhydride
1298	108-31-6	MAn	Maleic anhydride
# 1100	463-51-4	*	Ketene
# 1351	80-62-6	*	Methyl methacrylate
# 1381	120-61-6	*	Dimethyl terephthalate
1442	75-56-9	PO	1,2-propylene oxide
# 1472	80-15-9	*	Cumene hydroperoxide
# 1773	107-12-0	*	Propionitrile
2391	616-38-6	DMC	Dimethyl carbonate
28366	105-58-8	DEC	DiEthyl Carbonate
23498	623-53-0	MEC	Methyl Ethyl Carbonate
27991	13509-27-8	MPC	Methyl Phenyl Carbonate
22587	3878-46-4	EPC	Ethyl Phenyl Carbonate
13125	102-09-0	DPC	DiPhenyl Carbonate
1366	96-49-1	EC	Ethylene carbonate
2367	108-32-7	PC	Propylene carbonate
# 2252	15870-10-7	*	2-methyl-1-heptene
# 22158	76589-16-7	*	2-Methoxy-2-Methyl-Heptane
# 20101	625-25-2	*	2-Methyl-2-Heptanol
# 1431	109-87-5	*	Methylal
1722	105-59-9	MDEA	Methyl DiEthanolAmine
6861	100-37-8	DEMEA	Diethylethanolamine
6864	110-97-4	DIPA	Diisopropanolamine
